Location,Area_sqft,Road_Width_ft,Near_Highway,Distance_from_citycenter_km,Price_per_sqft
Vellore,1839.39,40.0,Yes,2.32,2468.96
Trichy,1452.41,38.3,No,3.46,2682.76
Chennai,1679.75,29.0,No,4.86,4405.68
Chennai,1642.18,31.7,Yes,1.38,5064.02
Madurai,1753.77,16.4,Yes,3.46,2735.4
Chennai,1788.85,36.2,No,1.15,5077.55
Trichy,840.07,12.5,Yes,3.8,2939.6
Vellore,1895.06,24.9,No,3.92,2162.07
Madurai,1042.38,13.1,No,1.52,2786.64
Salem,1457.35,32.1,Yes,4.04,2466.84
Madurai,1754.84,13.3,Yes,1.12,3003.39
Madurai,1761.1,34.5,No,2.52,2861.54
Coimbatore,1696.55,18.5,Yes,1.36,4597.65
Salem,1652.67,39.4,Yes,4.22,2526.78
Vellore,1819.71,30.1,Yes,1.73,2442.48
Chennai,1596.31,30.8,Yes,0.79,5152.62
Chennai,1867.41,33.6,No,3.99,4498.51
Trichy,1032.94,25.3,No,1.16,3260.02
Salem,1825.95,19.4,Yes,4.89,2407.29
Vellore,1860.86,34.3,No,3.24,2266.81
Madurai,1544.02,34.4,Yes,0.52,3015.69
Salem,1777.31,33.6,No,1.17,2810.92
Salem,944.91,24.8,No,1.51,2703.26
Chennai,848.88,18.5,Yes,5.35,4698.84
Coimbatore,1473.32,22.2,No,4.21,4263.32
Vellore,1331.14,40.0,No,1.51,2425.06
Vellore,1929.75,28.9,Yes,0.92,2712.83
Chennai,1672.05,15.4,No,1.71,4818.56
Trichy,1744.02,39.7,No,4.43,2718.83
Coimbatore,862.64,32.2,Yes,0.69,4439.94
Trichy,1422.98,29.8,Yes,5.37,2801.52
Salem,1973.68,26.5,No,2.81,2562.99
Chennai,1495.74,36.3,No,2.97,4848.92
Madurai,1496.49,21.7,No,3.1,2793.9
Salem,1880.79,30.6,No,5.88,2357.14
Coimbatore,1452.19,14.3,No,4.51,4109.16
Coimbatore,1449.11,27.7,No,5.56,3877.69
Vellore,1786.43,19.4,No,1.67,2218.5
Vellore,879.47,23.3,No,4.68,1894.69
Madurai,927.88,17.4,No,2.63,2598.28
Salem,1758.25,33.5,Yes,5.17,2423.18
Chennai,1364.93,16.0,No,1.33,4825.92
Salem,1008.33,13.3,No,3.81,2466.37
Vellore,1957.67,26.6,Yes,2.33,2561.06
Vellore,935.85,17.4,Yes,0.93,2511.78
Salem,1773.21,39.9,Yes,2.07,2634.93
Trichy,821.3,29.4,No,4.08,2640.81
